image_id,qr_index,x0,y0,x1,y1,x2,y2,x3,y3,content
perspectiveimage012_jpg.rf.002ba2581f0413a62f2be1cf77e12dd3,0,299,242,363,242,363,400,299,400,
2713553952_jpg.rf.012d9251a83dc9f9bc1dd1c41ff35c01,0,80,59,469,59,469,601,80,601,
2674398444_jpg.rf.0361fce335f75c1f452dde1cbd69af41,0,501,488,566,488,566,606,501,606,
4534855391_jpg.rf.0326bb148daaa3af4d4ebafb59529913,0,309,100,389,100,389,205,309,205,
IMG_20220601_164548_jpg.rf.047dab71a8db8ce70dc0e1ce9dda4813,0,132,355,225,355,225,417,132,417,
0425608272_jpg.rf.04f20f3e405a8fd81c1c657321ea8961,0,230,300,380,300,380,381,230,381,
5055323918_jpg.rf.028fc3ce7195539980374d3bf3a1e55d,0,252,420,268,420,268,482,252,482,
5055323918_jpg.rf.028fc3ce7195539980374d3bf3a1e55d,1,164,404,224,404,224,455,164,455,
5055323918_jpg.rf.028fc3ce7195539980374d3bf3a1e55d,2,408,184,465,184,465,253,408,253,
5055323918_jpg.rf.028fc3ce7195539980374d3bf3a1e55d,3,236,411,247,411,247,460,236,460,
IMG_20220601_165032_jpg.rf.03fb73bf91aecf35a79710ae48bf1a66,0,482,352,520,352,520,403,482,403,
IMG_20220601_165032_jpg.rf.03fb73bf91aecf35a79710ae48bf1a66,1,148,380,233,380,233,425,148,425,
4406534026_jpg.rf.04805dda378057735759b285b7e40a86,0,342,96,588,96,588,500,342,500,
4247266998_jpg.rf.01e5592eaaa51b1d9e89a2340b583258,0,204,235,481,235,481,374,204,374,
4696436381_jpg.rf.05141f0cdbcbae3fd6f6a78b33e02617,0,295,495,365,495,365,596,295,596,
bright_spotsimage016_jpg.rf.06bc78eeb796a4713a45094b94587b4f,0,303,295,348,295,348,328,303,328,
bright_spotsimage016_jpg.rf.06bc78eeb796a4713a45094b94587b4f,1,359,320,392,320,392,339,359,339,
bright_spotsimage016_jpg.rf.06bc78eeb796a4713a45094b94587b4f,2,368,296,395,296,395,316,368,316,
perspectiveimage035_jpg.rf.05fab0e7481d9c46cb88677d1a882b0e,0,321,211,364,211,364,404,321,404,
5208855909_jpg.rf.04a3e9cf5b4b773540a84181bd2df2fb,0,295,172,378,172,378,237,295,237,
5208855909_jpg.rf.04a3e9cf5b4b773540a84181bd2df2fb,1,500,265,540,265,540,353,500,353,
5208855909_jpg.rf.04a3e9cf5b4b773540a84181bd2df2fb,2,76,305,107,305,107,374,76,374,
