image_path,qr_count,corners
QRCode\QRCode001.jpg,0,
QRCode\QRCode002.jpg,0,
QRCode\QRCode003.jpg,0,
QRCode\QRCode004.jpg,1,"[(344,237),(81,129),(79,49),(340,58)]"
QRCode\QRCode005.jpg,1,"[(64,130),(334,132),(340,341),(63,338)]"
QRCode\QRCode006.jpg,1,"[(133,74),(389,166),(269,364),(4,268)]"
QRCode\QRCode007.jpg,0,
QRCode\QRCode008.jpg,1,"[(362,191),(292,363),(126,279),(203,108)]"
QRCode\QRCode009.jpg,0,
QRCode\QRCode010.jpg,0,
QRCode\QRCode011.jpg,0,
QRCode\QRCode012.jpg,1,"[(106,161),(267,150),(281,266),(124,286)]"
QRCode\QRCode013.jpg,1,"[(63,334),(87,86),(351,100),(325,367)]"
QRCode\QRCode014.jpg,0,
QRCode\QRCode015.jpg,1,"[(280,160),(335,261),(223,315),(173,208)]"
QRCode\QRCode016.jpg,0,
QRCode\QRCode017.jpg,0,
QRCode\QRCode018.jpg,1,"[(378,166),(300,345),(50,287),(139,101)]"
QRCode\QRCode019.jpg,1,"[(386,193),(249,351),(25,245),(178,82)]"
QRCode\QRCode020.jpg,1,"[(363,270),(120,346),(11,150),(283,81)]"
QRCode\QRCode021.jpg,1,"[(371,328),(26,337),(8,71),(362,66)]"
QRCode\QRCode022.jpg,1,"[(31,114),(379,102),(405,391),(30,379)]"
QRCode\QRCode023.jpg,1,"[(81,93),(394,130),(348,382),(13,331)]"
QRCode\QRCode024.jpg,1,"[(292,80),(367,272),(96,340),(19,126)]"
QRCode\QRCode025.jpg,1,"[(363,63),(380,307),(26,330),(26,62)]"
QRCode\QRCode026.jpg,1,"[(36,88),(392,87),(395,367),(26,357)]"
QRCode\QRCode027.jpg,1,"[(91,72),(397,120),(336,359),(14,306)]"
QRCode\QRCode028.jpg,1,"[(143,76),(403,171),(276,378),(4,272)]"
QRCode\QRCode029.jpg,1,"[(264,79),(402,264),(141,376),(8,175)]"
QRCode\QRCode030.jpg,1,"[(312,70),(396,282),(97,348),(26,125)]"
QRCode\QRCode031.jpg,1,"[(366,64),(378,303),(44,319),(40,65)]"
QRCode\QRCode032.jpg,1,"[(78,137),(353,135),(413,363),(32,360)]"
QRCode\QRCode033.jpg,0,
QRCode\QRCode034.jpg,1,"[(79,178),(323,172),(394,365),(31,376)]"
QRCode\QRCode035.jpg,0,
QRCode\QRCode036.jpg,1,"[(380,114),(389,372),(23,383),(33,111)]"
QRCode\QRCode037.jpg,0,
QRCode\QRCode038.jpg,1,"[(170,181),(304,205),(279,334),(151,304)]"
QRCode\QRCode039.jpg,1,"[(127,152),(238,120),(276,254),(163,295)]"
QRCode\QRCode040.jpg,1,"[(149,113),(246,107),(256,236),(156,243)]"
QRCode\QRCode041.jpg,0,
QRCode\QRCode042.jpg,0,
QRCode\QRCode043.jpg,1,"[(215,181),(312,171),(323,283),(226,289)]"
QRCode\QRCode044.jpg,1,"[(319,227),(199,327),(104,189),(228,87)]"
QRCode\QRCode045.jpg,1,"[(309,188),(215,318),(83,223),(181,91)]"
QRCode\QRCode046.jpg,1,"[(64,80),(326,57),(346,308),(84,333)]"
QRCode\QRCode047.jpg,1,"[(45,293),(103,104),(338,155),(303,300)]"
QRCode\QRCode048.jpg,1,"[(173,333),(149,126),(296,94),(324,293)]"
QRCode\QRCode049.jpg,2,"[(380,154),(383,260),(298,257),(303,154)];[(250,154),(248,257),(168,255),(171,151)]"
QRCode\QRCode050.jpg,1,"[(225,22),(281,43),(265,121),(207,94)]"
QRCode\QRCode051.jpg,0,
