image_id,qr_index,x0,y0,x1,y1,x2,y2,x3,y3,content
perspectiveimage012_jpg.rf.002ba2581f0413a62f2be1cf77e12dd3,0,308,283,349,283,349,384,308,384,
2713553952_jpg.rf.012d9251a83dc9f9bc1dd1c41ff35c01,0,102,62,411,62,411,158,102,158,
2713553952_jpg.rf.012d9251a83dc9f9bc1dd1c41ff35c01,1,229,487,469,487,469,595,229,595,
2674398444_jpg.rf.0361fce335f75c1f452dde1cbd69af41,0,493,480,574,480,574,614,493,614,
4534855391_jpg.rf.0326bb148daaa3af4d4ebafb59529913,0,309,100,387,100,387,205,309,205,
IMG_20220601_164548_jpg.rf.047dab71a8db8ce70dc0e1ce9dda4813,0,239,66,426,66,426,265,239,265,
0425608272_jpg.rf.04f20f3e405a8fd81c1c657321ea8961,0,220,290,390,290,390,392,220,392,
5055323918_jpg.rf.028fc3ce7195539980374d3bf3a1e55d,0,393,156,465,156,465,261,393,261,
5055323918_jpg.rf.028fc3ce7195539980374d3bf3a1e55d,1,158,403,228,403,228,461,158,461,
IMG_20220601_165032_jpg.rf.03fb73bf91aecf35a79710ae48bf1a66,0,128,368,240,368,240,448,128,448,
4406534026_jpg.rf.04805dda378057735759b285b7e40a86,0,313,69,615,69,615,533,313,533,
4247266998_jpg.rf.01e5592eaaa51b1d9e89a2340b583258,0,189,232,458,232,458,390,189,390,
4696436381_jpg.rf.05141f0cdbcbae3fd6f6a78b33e02617,0,293,492,366,492,366,605,293,605,http://qr.westergasfabriek.nl/480
bright_spotsimage016_jpg.rf.06bc78eeb796a4713a45094b94587b4f,,,,,,,,,,
perspectiveimage035_jpg.rf.05fab0e7481d9c46cb88677d1a882b0e,0,55,0,118,0,118,118,55,118,
perspectiveimage035_jpg.rf.05fab0e7481d9c46cb88677d1a882b0e,1,326,223,370,223,370,427,326,427,
5208855909_jpg.rf.04a3e9cf5b4b773540a84181bd2df2fb,0,287,163,385,163,385,245,287,245,http://t4g.fr/ae
5208855909_jpg.rf.04a3e9cf5b4b773540a84181bd2df2fb,1,481,265,558,265,558,316,481,316,
5208855909_jpg.rf.04a3e9cf5b4b773540a84181bd2df2fb,2,72,301,111,301,111,379,72,379,
2332977452_jpg.rf.03e5da8c95ee67ee6ebf31164b67a1f7,0,276,278,360,278,360,374,276,374,Dan Burzynski <contax@phrenetic.org>
2332977452_jpg.rf.03e5da8c95ee67ee6ebf31164b67a1f7,1,203,305,288,305,288,407,203,407,
